Year,Author,Title,Species,"Phyllum (Cnidarian, Mollusc, Echinoderm, Crustacean, Annelid, Bryzoan)",Stressor,Method (Metabolomics or Lipidomics),"Data Acquisition (Targeted, Semi-targeted, or Untargeted)",Platform,Steady State or Metabolic Flux?,Statistical Methods,Enrichment Method,Whole-Organism Physiological Traits Assessed,Other -Omic Methods,Integrative analysis,Take Homes,Abstract,DOI,Source
2020,"Kennedy, Jessica R.; Harley, Christopher D. G.; Marshall, Katie E.",Drivers of plasticity and freeze tolerance in the intertidal mussel Mytilus trossulus,Mytilus trossulus,Mollusc,Temperature,Metabolomics,Untargeted,1H NMR,Steady state,Linear models,"None, general description of types of compounds ",Survival; lethal temperature,None,None,Osmolytes assist in freeze tolerance. Gill tissue.  ,"Freezing is an extreme stress to living cells, and so freeze-tolerant animals often accumulate protective molecules (termed cryoprotectants) to prevent the cellular damage caused by freezing. The bay mussel, Mytilus trossulus, is an ecologically important intertidal invertebrate that can survive freezing. Although much is known about the biochemical correlates of freeze tolerance in insects and vertebrates, the cryoprotectants that are used by intertidal invertebrates are not well characterized. Previous work has proposed two possible groups of low-molecular weight cryoprotectants in intertidal invertebrates: osmolytes and anaerobic byproducts. In our study, we examined which group of candidate cryoprotectants correlate with plasticity in freeze tolerance in mussels using H-1 NMR metabolomics. We found that the freeze tolerance of M. trossulus varies on a seasonal basis, along an intertidal shore-level gradient, and with changing salinity. Acclimation to increased salinity (30 ppt compared with 15 ppt) increased freeze tolerance, and mussels were significantly more freeze tolerant during the winter. Mussel freeze tolerance also increased with increasing shore level. There was limited evidence that anaerobic byproduct accumulation was associated with increased freeze tolerance. However, osmolyte accumulation was correlated with increased freeze tolerance after high salinity acclimation and in the winter. The concentration of most low molecular weight metabolites did not vary with shore level, indicating that another mechanism is likely responsible for this pattern of variation in freeze tolerance. By identifying osmolytes as a group of molecules that assist in freezing tolerance, we have expanded the known biochemical repertoire of the mechanisms of freeze tolerance.",10.1242/jeb.233478,Both
2020,"Kennedy, Jessica R.; Harley, Christopher D. G.; Marshall, Katie E.",Drivers of plasticity and freeze tolerance in the intertidal mussel Mytilus trossulus,Mytilus trossulus,Mollusc,Salinity,Metabolomics,Untargeted,1H NMR,Steady state,Linear models,"None, general description of types of compounds ",Survival; lethal temperature,None,None,Osmolytes assist in freeze tolerance. Gill tissue.  ,"Freezing is an extreme stress to living cells, and so freeze-tolerant animals often accumulate protective molecules (termed cryoprotectants) to prevent the cellular damage caused by freezing. The bay mussel, Mytilus trossulus, is an ecologically important intertidal invertebrate that can survive freezing. Although much is known about the biochemical correlates of freeze tolerance in insects and vertebrates, the cryoprotectants that are used by intertidal invertebrates are not well characterized. Previous work has proposed two possible groups of low-molecular weight cryoprotectants in intertidal invertebrates: osmolytes and anaerobic byproducts. In our study, we examined which group of candidate cryoprotectants correlate with plasticity in freeze tolerance in mussels using H-1 NMR metabolomics. We found that the freeze tolerance of M. trossulus varies on a seasonal basis, along an intertidal shore-level gradient, and with changing salinity. Acclimation to increased salinity (30 ppt compared with 15 ppt) increased freeze tolerance, and mussels were significantly more freeze tolerant during the winter. Mussel freeze tolerance also increased with increasing shore level. There was limited evidence that anaerobic byproduct accumulation was associated with increased freeze tolerance. However, osmolyte accumulation was correlated with increased freeze tolerance after high salinity acclimation and in the winter. The concentration of most low molecular weight metabolites did not vary with shore level, indicating that another mechanism is likely responsible for this pattern of variation in freeze tolerance. By identifying osmolytes as a group of molecules that assist in freezing tolerance, we have expanded the known biochemical repertoire of the mechanisms of freeze tolerance.",10.1242/jeb.233478,Both
2020,"Kennedy, Jessica R.; Harley, Christopher D. G.; Marshall, Katie E.",Drivers of plasticity and freeze tolerance in the intertidal mussel Mytilus trossulus,Mytilus trossulus,Mollusc,Temperature,Lipidomics,Untargeted,1H NMR,Steady state,Linear models,"None, general description of types of compounds ",Survival; lethal temperature,None,None,Osmolytes assist in freeze tolerance. Gill tissue.  ,"Freezing is an extreme stress to living cells, and so freeze-tolerant animals often accumulate protective molecules (termed cryoprotectants) to prevent the cellular damage caused by freezing. The bay mussel, Mytilus trossulus, is an ecologically important intertidal invertebrate that can survive freezing. Although much is known about the biochemical correlates of freeze tolerance in insects and vertebrates, the cryoprotectants that are used by intertidal invertebrates are not well characterized. Previous work has proposed two possible groups of low-molecular weight cryoprotectants in intertidal invertebrates: osmolytes and anaerobic byproducts. In our study, we examined which group of candidate cryoprotectants correlate with plasticity in freeze tolerance in mussels using H-1 NMR metabolomics. We found that the freeze tolerance of M. trossulus varies on a seasonal basis, along an intertidal shore-level gradient, and with changing salinity. Acclimation to increased salinity (30 ppt compared with 15 ppt) increased freeze tolerance, and mussels were significantly more freeze tolerant during the winter. Mussel freeze tolerance also increased with increasing shore level. There was limited evidence that anaerobic byproduct accumulation was associated with increased freeze tolerance. However, osmolyte accumulation was correlated with increased freeze tolerance after high salinity acclimation and in the winter. The concentration of most low molecular weight metabolites did not vary with shore level, indicating that another mechanism is likely responsible for this pattern of variation in freeze tolerance. By identifying osmolytes as a group of molecules that assist in freezing tolerance, we have expanded the known biochemical repertoire of the mechanisms of freeze tolerance.",10.1242/jeb.233478,Both
2020,"Kennedy, Jessica R.; Harley, Christopher D. G.; Marshall, Katie E.",Drivers of plasticity and freeze tolerance in the intertidal mussel Mytilus trossulus,Mytilus trossulus,Mollusc,Salinity,Lipidomics,Untargeted,1H NMR,Steady state,Linear models,"None, general description of types of compounds ",Survival; lethal temperature,None,None,Osmolytes assist in freeze tolerance. Gill tissue.  ,"Freezing is an extreme stress to living cells, and so freeze-tolerant animals often accumulate protective molecules (termed cryoprotectants) to prevent the cellular damage caused by freezing. The bay mussel, Mytilus trossulus, is an ecologically important intertidal invertebrate that can survive freezing. Although much is known about the biochemical correlates of freeze tolerance in insects and vertebrates, the cryoprotectants that are used by intertidal invertebrates are not well characterized. Previous work has proposed two possible groups of low-molecular weight cryoprotectants in intertidal invertebrates: osmolytes and anaerobic byproducts. In our study, we examined which group of candidate cryoprotectants correlate with plasticity in freeze tolerance in mussels using H-1 NMR metabolomics. We found that the freeze tolerance of M. trossulus varies on a seasonal basis, along an intertidal shore-level gradient, and with changing salinity. Acclimation to increased salinity (30 ppt compared with 15 ppt) increased freeze tolerance, and mussels were significantly more freeze tolerant during the winter. Mussel freeze tolerance also increased with increasing shore level. There was limited evidence that anaerobic byproduct accumulation was associated with increased freeze tolerance. However, osmolyte accumulation was correlated with increased freeze tolerance after high salinity acclimation and in the winter. The concentration of most low molecular weight metabolites did not vary with shore level, indicating that another mechanism is likely responsible for this pattern of variation in freeze tolerance. By identifying osmolytes as a group of molecules that assist in freezing tolerance, we have expanded the known biochemical repertoire of the mechanisms of freeze tolerance.",10.1242/jeb.233478,Both
2020,"Ren, Xianyun; Yu, Zhenxing; Xu, Yao; Zhang, Yunbin; Mu, Cuimin; Liu, Ping; Li, Jian",Integrated transcriptomic and metabolomic responses in the hepatopancreas of kuruma shrimp (Marsupenaeus japonicus) under cold stress,Marsupenaeus japonicus,Mollusc,Temperature,Metabolomics,Untargeted,UHPLC-MS,Steady state,"PCA, OPLS-DA, VIP",KEGG mapping and MetaboAnalyst pathway analysis,Histology,Transcriptomics,Joint KEGG pathway analysis of genes and metabolites,"Cold temperatures impact amino acid, fatty acid, and energy metabolism","In aquatic ecosystems, the temperature of the water is an important ecological factor that modulates aquatic organisms' metabolism, growth, development, and reproduction. In this study, the morphological, transcriptomic, and metabolomic analyses of response of Marsupeneus japonicus to acute cold stress was investigated. The results revealed that low temperature caused profound morphological damage to the hepatopancreas. Transcriptomic responses suggested that energy and primary metabolism, cytoskeleton structure, and apoptosis signaling were altered. The metabolic responses to cold stress included changes of multiple amino acids and unsaturated fatty acids. Combined transcriptomic and metabolomic data indicated that energy metabolism pathways were downregulated in the hepatopancreas under cold stress. However, M. japonicus increased ATP and unsaturated fatty acids production to ameliorate. Moreover, cold stress caused significant attenuation of macrophage apoptosis. This study provides key information to increase our understanding of low-temperature tolerance in shrimp.",10.1016/j.ecoenv.2020.111360,Both
2020,"Zhaoqun Liu, Yukun Zhang, Zhi Zhou, Yanan Zong, Yan Zheng, Chang Liu, Ning Kong, Qiang Gao, Lingling Wang & Linsheng Song",Metabolomic and transcriptomic profiling reveals the alteration of energy metabolism in oyster larvae during initial shell formation and under experimental ocean acidification,Crassostrea gigas,Mollusc,Ocean acidification,Metabolomics,Untargeted (but not explicitly stated),LC-GC-MS,Steady state,"Random forest, two-sample t-test, biochemical importance plots",None,None,Transcriptomics,None,"OA negatively impacted energy metabolism, which in turn impacted development","Marine bivalves secrete calcified shells to protect their soft bodies from predation and damages, which is of great importance for their survival, and for the safety of the coastal ecosystem. In recent years, larval shell formation of marine bivalves has been severely affected by ocean acidification (OA), and previous study indicated that OA might affect such process by disrupting endogenous energy metabolism. Developmental stages from trochophore to D-shape larvae are extremely important for initial shell formation in oyster since a calcified shell was formed to cover the chitin one. In the present study, metabolomic and transcriptomic approaches were employed to investigate the energy metabolism of oyster larvae during initial shell (prodissoconch I, PDI shell) formation and under experimental OA treatment. Totally 230 chemical compounds were identified from the present dataset, most of which were highly expressed in the “middle” stage (early D-shape larvae) which was critical for PDI shell formation since a calcified shell was formed to cover the chitin one. Several compounds such as glucose, glutarylcarnitine (C5), β-hydroxyisovaleroylcarnitine, 5-methylthioadenosine (MTA), myristoleate (14:1n5) and palmitoleate (16:1n7) were identified, which were involved in energy metabolic processes including amino acid oxidation, glycolysis, pentose phosphate pathway and fatty acid metabolism. In addition, mRNA expressions of genes related to protein metabolism, glycolysis, lipid degradation, calcium transport and organic matrix formation activities were significantly down-regulated upon experimental OA. These results collectively suggested that formation of the initial shell in oyster larvae required endogenous energy coming from amino acid oxidation, glycolysis, pentose phosphate pathway and fatty acid metabolism. These metabolic activities could be severely inhibited by experimental OA, which might alter the allocation of endogenous energy. Insufficient endogenous energy supply then suppressed the mobilization of calcium and resulted in a failure or delay in PDI shell formation.",10.1038/s41598-020-62963-3,Manual
2020,"Xu, Fei; Gao, Tingting; Liu, Xiao",Metabolomics Adaptation of Juvenile Pacific Abalone Haliotis discus hannai to Heat Stress,Haliotus discus hannai,Mollusc,Temperature,Metabolomics,Untargeted,UHPLC-MS,Steady state,"OPLS-DA, VIP",None,None,None,None,"Accumulation of metabolites under heat dress indicated reduced function of mitochondrial enzymes, which was mediated by high-temperature acclimation","Temperature fluctuation is a key abiotic factor for the growth and survival of Pacific abalone Haliotis discus hannai, particularly during climate change. However, the physiological mechanism underlying the abalones' response to heat stress remains unknown. We sought to understand the metabolic adaptation mechanism of Pacific abalone to heat stress for further analyzing its heat tolerance capacity. For two groups experienced different acclimate temperature (10 degrees C and 30 degrees C for 62 days), the Pacific abalone juveniles displayed significantly different survival rates under 31 degrees C acute heat treatment. A total of 1815 and 1314 differential metabolites were identified from the 10 degrees C and 30 degrees C acclimate groups respectively, by comparing mass spectrometry data of the samples before and after heat stimulation. Heat stress led to mitochondrial failure, resulting in incomplete oxidative metabolism of amino acids and fatty acids in the mitochondria, and massive accumulation of unstable metabolic intermediates in cells. The 10 degrees C acclimated group accumulated more harmful substances after heat stimulation, provoking further stress responses and pathophysiological processes. In comparison, the 30 degrees C acclimated group showed stronger regulation capacity to produce beneficial substances for metabolic homeostasis. The findings provided insight into the heat response of marine animals, especially concerning mitochondrial metabolism.",10.1038/s41598-020-63122-4,Both
2020,"Cynthia Thibault, Gloria Massamba-N’Siala, Fanny Noisette, Fanny Vermandele, Mathieu Babin & Piero Calosi",Within- and trans-generational responses to combined global changes are highly divergent in two congeneric species of marine annelids,Ophryotrocha robusta,Annelid,Ocean acidification,Metabolomics,Targeted,LC-MS,Steady state,"PCA, MANOVA",None,"Survival, growth rate, fecundity, egg volume",None,None,Physiological and metabolomic data suggest species-specific susceptibility to ocean warming and acidification,"Trans-generational plasticity (TGP) represents a primary mechanism for guaranteeing species persistence under rapid global changes. To date, no study on TGP responses of marine organisms to global change scenarios in the ocean has been conducted on phylogenetically closely related species, and we thus lack a true appreciation for TGP inter-species variation. Consequently, we examined the tolerance and TGP of life-history and physiological traits in two annelid species within the genus Ophryotrocha: one rare (O. robusta) and one common (O. japonica). Both species were exposed over two generations to ocean acidification (OA) and warming (OW) in isolation and in combination (OAW). Warming scenarios led to a decrease in energy production together with an increase in energy requirements, which was lethal for O. robusta before viable offspring could be produced by the F1. Under OA conditions, O. robusta was able to reach the second generation, despite showing lower survival and reproductive performance when compared to control conditions. This was accompanied by a marked increase in fecundity and egg volume in F2 females, suggesting high capacity for TGP under OA. In contrast, O. japonica thrived under all scenarios across both generations, maintaining its fitness levels via adjusting its metabolomic profile. Overall, the two species investigated show a great deal of difference in their ability to tolerate and respond via TGP to future global changes. We emphasize the potential implications this can have for the determination of extinction risk, and consequently, the conservation of phylogenetically closely related species.",10.1007/s00227-019-3644-8,Manual
2020,"Cynthia Thibault, Gloria Massamba-N’Siala, Fanny Noisette, Fanny Vermandele, Mathieu Babin & Piero Calosi",Within- and trans-generational responses to combined global changes are highly divergent in two congeneric species of marine annelids,Ophryotrocha japonica,Annelid,Temperature,Metabolomics,Targeted,LC-MS,Steady state,"PCA, MANOVA",None,"Survival, growth rate, fecundity, egg volume",None,None,Physiological and metabolomic data suggest species-specific susceptibility to ocean warming and acidification,"Trans-generational plasticity (TGP) represents a primary mechanism for guaranteeing species persistence under rapid global changes. To date, no study on TGP responses of marine organisms to global change scenarios in the ocean has been conducted on phylogenetically closely related species, and we thus lack a true appreciation for TGP inter-species variation. Consequently, we examined the tolerance and TGP of life-history and physiological traits in two annelid species within the genus Ophryotrocha: one rare (O. robusta) and one common (O. japonica). Both species were exposed over two generations to ocean acidification (OA) and warming (OW) in isolation and in combination (OAW). Warming scenarios led to a decrease in energy production together with an increase in energy requirements, which was lethal for O. robusta before viable offspring could be produced by the F1. Under OA conditions, O. robusta was able to reach the second generation, despite showing lower survival and reproductive performance when compared to control conditions. This was accompanied by a marked increase in fecundity and egg volume in F2 females, suggesting high capacity for TGP under OA. In contrast, O. japonica thrived under all scenarios across both generations, maintaining its fitness levels via adjusting its metabolomic profile. Overall, the two species investigated show a great deal of difference in their ability to tolerate and respond via TGP to future global changes. We emphasize the potential implications this can have for the determination of extinction risk, and consequently, the conservation of phylogenetically closely related species.",10.1007/s00227-019-3644-8,Manual
2019,"Chen, Ke; Li, Erchao; Xu, Chang; Wang, Xiaodan; Li, Huifeng; Qin, Jian G.; Chen, Liqiao",Growth and metabolomic responses of Pacific white shrimp (Litopenaeus vannamei) to different dietary fatty acid sources and salinity levels,Litopenaeus vannamei,Crustacean,Salinity,Metabolomics,Untargeted (but not explicitly stated),GC-TOF-MS,Steady state,"OPLS-DA, VIP","Pathway mapping to KEGG and NIST databases, but no enrichment","Weight gain, survival, fatty acid assay, enzyme activity assay",RT-qPCR,None,Diet impacted metabolic responses to salinities,"The outstanding benefits of and strong interest in the inland low-salinity culture of penaeid shrimp have led to the growth of this industry worldwide. This study aimed to explore the effects of dietary fatty acids on shrimp in low-salinity culture. Individuals of the marine white shrimp Litopenaeus vannamei were fed one of three diets (coconut oil, fish oil, or an equal mixture of both) of differing fatty acid profiles for eight weeks while being maintained at two different salinities (3 or 30 psu). Then, a GC-TOF/MS-based metabolomics analysis was performed to reveal the regulatory roles of fatty acids in shrimp growth, survival and osmoregulation at two salinities. The shrimp fed the mixed oil diet had higher weight gain and survival, and those fed the diet with only fish oil added exhibited higher unsaturated fatty acid levels in the gills and hepatopancreas irrespective of salinity. Na+/K+-ATPase and total ATPase activities were lowest in the shrimp fed the mixed oil diet at both salinities. When coconut oil was the only lipid source, shrimp tissues contained higher tyrosine, lysine and serine levels at 3 psu than at 30 psu. In contrast, the shrimp fed fish oil as the sole lipid source had higher glucose at 3 psu than at 30 psu. This study indicates that appropriate supplementation of dietary unsaturated and saturated fatty acids can improve shrimp osmoregulation capacity and thus promote shrimp growth and survival in low-salinity water.",10.1016/j.aquaculture.2018.09.056,Web of Science
2019,"Jie Xiao, Qiang-Yong Li, Jia-Peng Tu, Xiu-Li Chen, Xiao-Han Chen, Qing-Yun Liu, Hong Liu, Xiao-Yun Zhou, Yong-Zhen Zhao, Huan-Ling Wang",Stress response and tolerance mechanisms of ammonia exposure based on transcriptomics and metabolomics in Litopenaeus vannamei,Litopenaeus vannamei,Crustacean,Pollutant,Metabolomics,Untargeted,GC-MS,Steady state,"PCA, OPLS-DA, VIP",HMDB classification but no enrichment,None,Transcriptomics,None,Shrimp can acclimate to high ammonia concentrations due to changes in glycolysis and the TCA cycle,"Ammonia, one of the major limiting environment factors in aquaculture, may pose a threat to the shrimp growth, reproduction and survival. In this study, to understand molecular differences of transcriptomic and metabolomic responses and investigate the tolerance mechanisms underlying ammonia stress in Litopenaeus vannamei, ammonia-tolerant family (LV-AT) and ammonia-sensitive family (LV-AS) of these two extreme families were exposed to high-concentration (NH4Cl, 46 mg/L) ammonia for 24 h. The comparative transcriptome analysis between ammonia-treated and control (LV-C) groups revealed involvement of immune defense, cytoskeleton remodeling, antioxidative system and metabolic pathway in ammonia-stress response of L. vannamei. Likewise, metabolomics analysis showed that ammonia exposure could disturb amino acid metabolism, nucleotide metabolism and lipid metabolism, with metabolism related-genes changed according to RNA-seq analysis. The comparison of metabolite and transcript profiles between LV-AT and LV-AS indicated that LV-AT used the enhanced glycolysis and tricarboxylic acid (TCA) cycle strategies for energy supply and ammonia excretion to adapt high-concentration ammonia. Furthermore, some of genes involved in the detoxification and ammonia excretion were highly expressed in LV-AT. We speculate that the higher ability of ammonia excretion and detoxification and the accelerated energy metabolism for energy supplies might be the adaptive strategies for LV-AT relative to LV-AS after ammonia stress. Collectively, the combination of transcriptomics and metabolomics results will greatly contribute to incrementally understand the stress responses on ammonia exposure to L. vannamei and supply molecular level support for evaluating the environmental effects of ammonia on aquatic organisms. The results further constitute new sights on the potential molecular mechanisms of ammonia adaptive strategies in shrimps at the transcriptomics and metabolomics levels.",10.1016/j.ecoenv.2019.05.029,Manual
2019,"Shelly A. Wanamaker, Paul McElhany, Michael Maher, Danielle Perez, D. Shallin Busch & Krista M. Nichols ",Uncovering mechanisms of global ocean change effects on the Dungeness crab (Cancer magister) through metabolomics analysis,Cancer magister,Crustacean,Ocean acidification,Metabolomics,Untargeted,"GC-TOF-MS (metabolites), CSH-ESI QTOF-MS (lipids)",Steady state,"T-tests, PLS-DA and random forest with MetaboAnalyst",None,None,None,"Manual mapping with Metamapp, visualization with Cytoscape",Low oxygen has a more profound effect on the metabolome and lipidome than low pH,"The Dungeness crab is an economically and ecologically important species distributed along the North American Pacific coast. To predict how Dungeness crab may physiologically respond to future global ocean change on a molecular level, we performed untargeted metabolomic approaches on individual Dungeness crab juveniles reared in treatments that mimicked current and projected future pH and dissolved oxygen conditions. We found 94 metabolites and 127 lipids responded in a condition-specific manner, with a greater number of known compounds more strongly responding to low oxygen than low pH exposure. Pathway analysis of these compounds revealed that juveniles may respond to low oxygen through evolutionarily conserved processes including downregulating glutathione biosynthesis and upregulating glycogen storage, and may respond to low pH by increasing ATP production. Most interestingly, we found that the response of juveniles to combined low pH and low oxygen exposure was most similar to the low oxygen exposure response, indicating low oxygen may drive the physiology of juvenile crabs more than pH. Our study elucidates metabolic dynamics that expand our overall understanding of how the species might respond to future ocean conditions and provides a comprehensive dataset that could be used in future ocean acidification response studies.",10.1038/s41598-019-46947-6,Manual
2019,"Shelly A. Wanamaker, Paul McElhany, Michael Maher, Danielle Perez, D. Shallin Busch & Krista M. Nichols ",Uncovering mechanisms of global ocean change effects on the Dungeness crab (Cancer magister) through metabolomics analysis,Cancer magister,Crustacean,Ocean acidification,Lipidomics,Untargeted,"GC-TOF-MS (metabolites), CSH-ESI QTOF-MS (lipids)",Steady state,"T-tests, PLS-DA and random forest with MetaboAnalyst",None,None,None,"Manual mapping with Metamapp, visualization with Cytoscape",Low oxygen has a more profound effect on the metabolome and lipidome than low pH,"The Dungeness crab is an economically and ecologically important species distributed along the North American Pacific coast. To predict how Dungeness crab may physiologically respond to future global ocean change on a molecular level, we performed untargeted metabolomic approaches on individual Dungeness crab juveniles reared in treatments that mimicked current and projected future pH and dissolved oxygen conditions. We found 94 metabolites and 127 lipids responded in a condition-specific manner, with a greater number of known compounds more strongly responding to low oxygen than low pH exposure. Pathway analysis of these compounds revealed that juveniles may respond to low oxygen through evolutionarily conserved processes including downregulating glutathione biosynthesis and upregulating glycogen storage, and may respond to low pH by increasing ATP production. Most interestingly, we found that the response of juveniles to combined low pH and low oxygen exposure was most similar to the low oxygen exposure response, indicating low oxygen may drive the physiology of juvenile crabs more than pH. Our study elucidates metabolic dynamics that expand our overall understanding of how the species might respond to future ocean conditions and provides a comprehensive dataset that could be used in future ocean acidification response studies.",10.1038/s41598-019-46947-6,Manual
2019,"Shelly A. Wanamaker, Paul McElhany, Michael Maher, Danielle Perez, D. Shallin Busch & Krista M. Nichols ",Uncovering mechanisms of global ocean change effects on the Dungeness crab (Cancer magister) through metabolomics analysis,Cancer magister,Crustacean,Hypoxia,Metabolomics,Untargeted,"GC-TOF-MS (metabolites), CSH-ESI QTOF-MS (lipids)",Steady state,"T-tests, PLS-DA and random forest with MetaboAnalyst",None,None,None,"Manual mapping with Metamapp, visualization with Cytoscape",Low oxygen has a more profound effect on the metabolome and lipidome than low pH,"The Dungeness crab is an economically and ecologically important species distributed along the North American Pacific coast. To predict how Dungeness crab may physiologically respond to future global ocean change on a molecular level, we performed untargeted metabolomic approaches on individual Dungeness crab juveniles reared in treatments that mimicked current and projected future pH and dissolved oxygen conditions. We found 94 metabolites and 127 lipids responded in a condition-specific manner, with a greater number of known compounds more strongly responding to low oxygen than low pH exposure. Pathway analysis of these compounds revealed that juveniles may respond to low oxygen through evolutionarily conserved processes including downregulating glutathione biosynthesis and upregulating glycogen storage, and may respond to low pH by increasing ATP production. Most interestingly, we found that the response of juveniles to combined low pH and low oxygen exposure was most similar to the low oxygen exposure response, indicating low oxygen may drive the physiology of juvenile crabs more than pH. Our study elucidates metabolic dynamics that expand our overall understanding of how the species might respond to future ocean conditions and provides a comprehensive dataset that could be used in future ocean acidification response studies.",10.1038/s41598-019-46947-6,Manual
2019,"Shelly A. Wanamaker, Paul McElhany, Michael Maher, Danielle Perez, D. Shallin Busch & Krista M. Nichols ",Uncovering mechanisms of global ocean change effects on the Dungeness crab (Cancer magister) through metabolomics analysis,Cancer magister,Crustacean,Hypoxia,Lipidomics,Untargeted,"GC-TOF-MS (metabolites), CSH-ESI QTOF-MS (lipids)",Steady state,"T-tests, PLS-DA and random forest with MetaboAnalyst",None,None,None,"Manual mapping with Metamapp, visualization with Cytoscape",Low oxygen has a more profound effect on the metabolome and lipidome than low pH,"The Dungeness crab is an economically and ecologically important species distributed along the North American Pacific coast. To predict how Dungeness crab may physiologically respond to future global ocean change on a molecular level, we performed untargeted metabolomic approaches on individual Dungeness crab juveniles reared in treatments that mimicked current and projected future pH and dissolved oxygen conditions. We found 94 metabolites and 127 lipids responded in a condition-specific manner, with a greater number of known compounds more strongly responding to low oxygen than low pH exposure. Pathway analysis of these compounds revealed that juveniles may respond to low oxygen through evolutionarily conserved processes including downregulating glutathione biosynthesis and upregulating glycogen storage, and may respond to low pH by increasing ATP production. Most interestingly, we found that the response of juveniles to combined low pH and low oxygen exposure was most similar to the low oxygen exposure response, indicating low oxygen may drive the physiology of juvenile crabs more than pH. Our study elucidates metabolic dynamics that expand our overall understanding of how the species might respond to future ocean conditions and provides a comprehensive dataset that could be used in future ocean acidification response studies.",10.1038/s41598-019-46947-6,Manual
2018,"Chan, Cheuk Yan; Wang, Wen-Xiong",A lipidomic approach to understand copper resilience in oyster Crassostrea hongkongensis,Crassostrea hongkongensis,Mollusc,Pollutant,Lipidomics,Untargeted,UHPLC-QTOF-MS,Steady state,DESeq2,None,"Condition index, clearance rate, lipid content, lipid peroxidation",None,None,"Changes to subcellular compartmentalization, inflammatory respones, and phospholipid remodeling allow for digestive gland resilience to copper ","Copper (Cu) can cause oxidative stress and inflammatory responses, and there is arising evidence between Cu toxicity and lipid disturbance. In this study, we examined the relationships between Cu exposure and lipid metabolism in an estuarine oyster (Crassostrea hongkongensis) and aimed to understand the effects and resilience strategies of Cu on oyster metabolism. We exposed the oysters to waterborne Cu (10 and 50 mu g/L) and measured the physiological changes (condition index and clearance rate), lipid accumulation and lipid peroxidation in the oysters. We found more altered lipid responses in oysters exposed to a lower Cu concentration (10 mu g/L), and speculated that oysters exposed to 50 mu g/L may upregulate the defenses. We further evaluated the changes in lipidome profiling of the Cu-exposed oysters in aspects of membrane dynamics, lipid signaling and energy metabolism. We documented the phospholipid remodeling as well as quick modulation in inflammatory responses and extensive vesicle formation for subcellular compartmentalization and autophagosome formation, as well as the possible impacts on mitochondrial bioenergetics in the Cu-exposed oysters. The lipidomics approach provided a comprehensive lipid profile of possible alteration by Cu exposure. In combination with other omics approaches, it may be possible to elucidate the pathways and mechanisms in stress acclimation and resilience associated between Cu contamination and lipid metabolism.",10.1016/j.aquatox.2018.09.011,Web of Science
2018,"Farag, Mohamed A.; Meyer, Achim; Ali, Sara E.; Salem, Mohamed A.; Giavalisco, Patrick; Westphal, Hildegard; Wessjohann, Ludger A.",Comparative Metabolomics Approach Detects Stress-Specific Responses during Coral Bleaching in Soft Corals,Sarcophyton ehrenbergi,Cnidarian,Ocean acidification,Metabolomics,Targeted,UPLC-MS (lipds) and GC-MS (metabolites),Steady state,PCA; OPLSDA; cross validation ANOVA,Manual mapping and targeted hypotheses,None,None,None,Shifts in metabolic pathways in response to stress,"Chronic exposure to ocean acidification and elevated sea-surface temperatures pose significant stress to marine ecosystems. This in turn necessitates costly acclimation responses in corals in both the symbiont and host, with a reorganization of cell metabolism and structure. A large-scale untargeted metabolomics approach comprising gas chromatography mass spectrometry (GC-MS) and ultraperformance liquid chromatography coupled to high resolution mass spectrometry (UPLC-MS) was applied to profile the metabolite composition of the soft coral Sarcophyton ehrenbergi and its dinoflagellate symbiont. Metabolite profiling compared ambient conditions with response to simulated climate change stressors and with the sister species, S. glaucum. Among similar to 300 monitored metabolites, 13 metabolites were modulated. Incubation experiments providing four selected upregulated metabolites (alanine, GABA, nicotinic acid, and proline) in the culturing water failed to subside the bleaching response at temperature-induced stress, despite their known ability to mitigate heat stress in plants or animals. Thus, the results hint to metabolite accumulation (marker) during heat stress. This study provides the first detailed map of metabolic pathways transition in corals in response to different environmental stresses, accounting for the superior thermal tolerance of S. ehrenbergi versus S. glaucum, which can ultimately help maintain a viable symbiosis and mitigate against coral bleaching.",10.1021/acs.jproteome.7b00929,Both
